source_id,source_name,provider,source_class,observation_status,publication_or_release_date,retrieved_date,url,local_filename,download,redistribution_status,variables_or_content,planned_use,known_limitations,verification_status
D001,Artemis II Ephemeris,NASA,flight_ephemeris,mixed_historical_reconstructed_and_predicted_operational_solution,2026-05-01,2026-07-10,https://www.nasa.gov/wp-content/uploads/2026/03/all-artemis-ii-oem-files.zip?emrc=6a5108e3b805a,artemis2/all-artemis-ii-oem-files.zip,true,retain original attribution and verify file-level terms,Orion state vectors and time segments,Calibration held-out trajectory validation and release-revision testing,Does not expose all mission-owned force navigation or propulsion parameters; pre/post creation classification is a research audit convention,downloaded hashed and metadata audited
D002,Artemis II Daily Agenda,NASA,mission_timeline,official_public_plan,2026-03-13,2026-07-10,https://www.nasa.gov/missions/artemis/nasas-artemis-ii-moon-mission-daily-agenda/,,false,link and attribute,Burn windows sleep and crew events,Crew and operational constraints,Public summary may omit internal timeline detail and is not an executed event log,source page verified
D003,Artemis II Overview Timeline,NASA,mission_timeline,official_public_plan,2026-01-08,2026-07-10,https://www.nasa.gov/wp-content/uploads/2026/01/artemis-ii-overview-timeline-public-final.pdf,artemis2/artemis-ii-overview-timeline-public-final.pdf,true,retain original attribution and verify file-level terms,Mission events crew phases sleep and maneuvers,Constraint extraction and event alignment,Plan differs from executed timing and remains a planning reference,downloaded hashed rendered and extracted
D004,Orion Reference Guide,NASA,vehicle_specification,official_public_specification,2022-11-10,2026-07-10,https://www.nasa.gov/wp-content/uploads/2023/02/orion-reference-guide-111022.pdf,vehicle/orion-reference-guide-111022.pdf,true,retain original attribution and verify file-level terms,Mass usable propellant thrust crew capacity and system overview,Vehicle configuration and bounds,Values are rounded and the Artemis II delta-v row appears internally mislabeled so that field is excluded,downloaded hashed rendered and extracted
D005,European Service Module Propulsion,ESA,vehicle_specification,official_public_specification,,2026-07-10,https://www.esa.int/Science_Exploration/Human_and_Robotic_Exploration/Orion/European_Service_Module_Propulsion,,false,link and attribute,Engine classes thrust tank configuration and propellants,Finite-burn and thruster model,Does not provide full flight-specific uncertainty distributions,source page verified
D006,Optimized Artemis II Trajectory Correction Burn Placement,NASA NTRS,technical_reference,derived_public_analysis,2023,2026-07-10,https://ntrs.nasa.gov/api/citations/20230000223/downloads/Artemis2OptTrajDesignFinal.pdf,references/artemis2-optimized-trajectory-correction.pdf,true,retain original attribution and verify record terms,Objective dispersion margins crew and navigation cases,Replication target uncertainty model and constraint design,Study uses mission models not fully released and describes a preflight reference trajectory,downloaded hashed rendered and extracted
D007,JPL Horizons,JPL NASA,planetary_ephemeris,authoritative_generated_data,,2026-07-10,https://ssd.jpl.nasa.gov/horizons/,,false,cite retrieval query and JPL instructions,Earth Moon Sun and planetary state vectors,Environment ephemerides and cross-check,Queries must be frozen and archived,interface verified
D008,DE440 Planetary and Lunar Ephemeris,JPL NASA,planetary_ephemeris,authoritative_model,2021,2026-07-10,https://ssd.jpl.nasa.gov/planets/eph_export.html,,false,cite model and kernel source,Planetary and lunar positions and orientations,High-fidelity environment model,Kernel versions and frames must be controlled,source page verified
D009,GOES Proton Flux,NOAA SWPC,space_weather,observed_environmental_data,,2026-07-10,https://www.swpc.noaa.gov/products/goes-proton-flux,,false,cite NOAA archive and retrieval interval,Historical energetic proton flux,Environmental stress strata and exposure proxy,Not an astronaut absorbed-dose measurement,source page verified
D010,NASA Spaceflight Human-System Standard Volume 2 Revision E,NASA,technical_standard,official_standard,2025-05-01,2026-07-10,https://standards.nasa.gov/system/files/tmp/NASA-STD-3001%20Vol%202%20Rev%20E_1_0.pdf,standards/NASA-STD-3001-Vol-2-Rev-E.pdf,true,public standard citation,Human factors habitability sustained translational acceleration and environmental constraints,Human-rated constraint registry,Requires mission-specific tailoring and provides duration-axis-posture envelopes rather than one scalar acceleration cap,downloaded hashed rendered and extracted
D011,NASA Standard for Models and Simulations,NASA,technical_standard,official_standard,2024-03-05,2026-07-10,https://standards.nasa.gov/sites/default/files/standards/NASA/B/1/NASA-STD-7009B-Final-3-5-2024.pdf,standards/NASA-STD-7009B.pdf,true,public standard citation,Model development validation uncertainty and credibility requirements,Simulation assurance framework,Does not set mission-specific acceptance values,downloaded hashed and reviewed
D012,Artemis Program Architecture,NASA,future_mission_reference,official_current_plan,2026-04-10,2026-07-10,https://www.nasa.gov/humans-in-space/artemis/,,false,link and attribute,Artemis III and IV architecture and dates,Future application boundary,Not a detailed Artemis IV trajectory or vehicle dataset,source page verified
D013,Starship Public Vehicle Specifications,SpaceX,future_vehicle_reference,official_top_level_specification,,2026-07-10,https://www.spacex.com/vehicles/starship,,false,link and attribute,Top-level dimensions capacity thrust and propellant,Context and future HLS extension,Insufficient for flight-calibrated HLS guidance and uncertainty modeling,source page verified
D014,Artemis II Flight Day 6 Lunar Flyby Updates,NASA,mission_event_record,observed_public_mission_update,2026-04-06,2026-07-10,https://www.nasa.gov/blogs/missions/2026/04/06/artemis-ii-flight-day-6-lunar-flyby-updates/,,false,link and attribute,Executed closest-approach timing altitude and relative speeds,Event alignment and geometry cross-check,Web update values are rounded and not tracking data,source page verified
D015,Artemis II Flight Day 3 Outbound Correction Update,NASA,mission_event_record,observed_public_mission_update,2026-04-03,2026-07-10,https://www.nasa.gov/blogs/missions/2026/04/03/artemis-ii-flight-day-3-outbound-trajectory-correction-burn-update/,,false,link and attribute,First outbound correction cancellation,Executed-maneuver registry,Decision time and counterfactual burn magnitude are not published,source page verified
D016,Artemis II Flight Day 4 Outbound Correction Update,NASA,mission_event_record,observed_public_mission_update,2026-04-04,2026-07-10,https://www.nasa.gov/blogs/missions/2026/04/04/artemis-ii-flight-day-4-deep-space-flying-lunar-flyby-prep/,,false,link and attribute,Second outbound correction cancellation,Executed-maneuver registry,Decision time and counterfactual burn magnitude are not published,source page verified
D017,Artemis II Flight Day 5 Correction Burn Complete,NASA,mission_event_record,observed_public_mission_update,2026-04-05,2026-07-10,https://www.nasa.gov/blogs/missions/2026/04/05/artemis-ii-flight-day-5-correction-burn-complete/,,false,link and attribute,Executed outbound correction start time and duration,Executed-maneuver registry,Delta-v and thruster configuration are not published,source page verified
D018,Artemis II Flight Day 7 First Return Correction Complete,NASA,mission_event_record,observed_public_mission_update,2026-04-07,2026-07-10,https://www.nasa.gov/blogs/missions/2026/04/07/artemis-ii-flight-day-7-first-return-correction-burn-complete/,,false,link and attribute,Executed RTC1 start time duration and rounded delta-v,Executed-maneuver registry,Delta-v is rounded and direction and thruster configuration are not published,source page verified
D019,Artemis II Flight Day 9 Second Return Correction Complete,NASA,mission_event_record,observed_public_mission_update,2026-04-10,2026-07-10,https://www.nasa.gov/blogs/missions/2026/04/10/artemis-ii-flight-day-9-second-return-correction-burn-complete/,,false,link and attribute,Executed RTC2 start time duration rounded delta-v and communications interruption,Executed-maneuver and operational-stress registry,Delta-v is rounded and direction and thruster configuration are not published,source page verified
D020,Artemis II Flight Day 10 Final Return Correction Complete,NASA,mission_event_record,observed_public_mission_update,2026-04-10,2026-07-10,https://www.nasa.gov/blogs/missions/2026/04/10/artemis-ii-flight-day-10-crew-completes-final-burn-before-splashdown/,,false,link and attribute,Executed RTC3 start time duration and rounded delta-v,Executed-maneuver registry,Delta-v is rounded and direction and thruster configuration are not published,source page verified
D021,Artemis II Mission Blog Index,NASA,mission_event_record,observed_public_mission_update,2026-04-11,2026-07-10,https://www.nasa.gov/blogs/artemis/,,false,link and attribute,Actual launch and mission update index,Mission epoch cross-check,Index content changes and should not replace event-specific records,source page verified
D022,Artemis I Orion ESM Propulsion System Engine Performance,NASA NTRS,technical_reference,flight_derived_public_analysis,2024,2026-07-10,https://ntrs.nasa.gov/api/citations/20240003648/downloads/382_BELAIR_ARTEMIS_I_ENGINE_PERFORMANCE_FINAL.pdf,,false,cite NTRS record and link,OMS-E auxiliary and RCS flight performance relative to models,Propulsion-model uncertainty sensitivity,Artemis I performance is not an Artemis II flight-specific calibration,source record verified
D023,Artemis II Flight Day 2 TLI Burn Complete,NASA,mission_event_record,observed_public_mission_update,2026-04-02,2026-07-10,https://www.nasa.gov/blogs/missions/2026/04/02/artemis-ii-flight-day-2-orion-completes-tli-burn-crew-begins-journey-to-the-moon/,,false,link and attribute,Executed TLI start time duration mass and approximate propellant consumption,Event alignment mass cross-check and maneuver exclusion,Published propellant is approximate and the article does not publish executed delta-v,source page verified
D024,Artemis II Flight Update Perigee Raise Burn Complete,NASA,mission_event_record,observed_public_mission_update,2026-04-02,2026-07-10,https://www.nasa.gov/blogs/missions/2026/04/02/artemis-ii-flight-update-perigee-raise-burn-complete/,,false,link and attribute,Perigee raise duration and planned TLI delta-v,Early maneuver exclusion and TLI cross-check,The 1274 ft/s value was stated before TLI as planned and is not executed telemetry,source page verified
D025,Evolution of Orion Mission Design for Exploration,NASA NTRS,technical_reference,public_mission_design_analysis,2016,2026-07-10,https://ntrs.nasa.gov/api/citations/20160001270/downloads/20160001270.pdf,,false,cite NTRS record and link,Orion design reference including 328-second main-engine specific impulse,Upper bound for propellant-conversion sensitivity,Older design analysis is not an Artemis II flight-specific engine calibration,source record verified
D026,NASA Sets Coverage for Artemis II Moon Mission,NASA,mission_timeline,official_public_operational_schedule,2026-03-25,2026-07-10,https://www.nasa.gov/missions/artemis/artemis-2/nasa-sets-coverage-for-artemis-ii-moon-mission/,,false,link and attribute,UTC-convertible Eastern-time burn sleep wake flyby and entry schedule,Protected crew windows and event cross-check,Page states times are subject to operational change and is not biomedical telemetry,source page verified
D027,Artemis II Flight Update Crew and Ground Teams Troubleshoot Orion Toilet,NASA,mission_event_record,observed_public_mission_update,2026-04-02,2026-07-10,https://www.nasa.gov/blogs/missions/2026/04/02/artemis-ii-flight-update-crew-and-ground-teams-successfully-troubleshoot-orions-toilet/,,false,link and attribute,First split sleep interval and wake/resumption times,Protected crew window reconstruction,Second sleep stop time is derived from a separately published 4.5-hour duration,source page verified
D028,General Mission Analysis Tool R2026a,NASA and contributors,open_source_software,official_open_source_release,2026-05-06,2026-07-10,https://github.com/nasa/GMAT/releases/tag/R2026a,,false,Apache-2.0 source release,Independent propagation and force-model comparison,Independent agreement still depends on matching frames epochs constants and force settings,release page verified
D029,JPL DE440s planetary and lunar ephemeris,NASA Jet Propulsion Laboratory,planetary_ephemeris,official_public_ephemeris,2020-12-21,2026-07-11,https://ssd.jpl.nasa.gov/ftp/eph/planets/bsp/de440s.bsp,ephemeris/de440s.bsp,true,public NASA/JPL ephemeris; retain attribution,Earth Moon and Sun positions in J2000 axes,F1 and F2 third-body force model and lunar-event geometry,Kernel time argument is TDB and the compact kernel covers 1849 through 2150,downloaded and SHA-256 verified
